modelo,auc_modelo,variable,caida_AUC_media,caida_AUC_pp,caida_AUC_desv,caida_AUC_IC_inf,caida_AUC_IC_sup,p_valor_empirico,IC_excluye_cero,p_emp_menor_005
LGBM,0.6849941237169425,plaquetas_min,-0.001464,-0.1464,0.003923,-0.007312,0.002804,0.564,False,False
LGBM,0.6849941237169425,bilirrubina_media,-0.001529,-0.1529,0.001734,-0.003523,0.000814,0.672,False,False
LGBM,0.6849941237169425,tp_max,-0.00206,-0.206,0.003466,-0.006114,0.002049,0.62,False,False
LGBM,0.6849941237169425,creatinina_max,-0.002735,-0.2735,0.003119,-0.006805,0.001766,0.68,False,False
CAT,0.7009439982059267,map_min,0.028111,2.8111,0.008233,0.019268,0.040263,0.016,True,True
CAT,0.7009439982059267,pf_min,0.023021,2.3021,0.005079,0.015129,0.028298,0.04,True,True
CAT,0.7009439982059267,diuresis_ml_kg_6h,0.017415,1.7415,0.007054,0.008246,0.02795,0.088,True,False
CAT,0.7009439982059267,hr_media,0.013074,1.3074,0.004001,0.007142,0.018355,0.088,True,False
CAT,0.7009439982059267,spo2_min,0.012744,1.2744,0.011642,-0.004078,0.028882,0.168,False,False
CAT,0.7009439982059267,gpt_max,0.012621,1.2621,0.009994,-0.001635,0.025133,0.196,False,False
CAT,0.7009439982059267,rr_max,0.012368,1.2368,0.00803,0.000415,0.019686,0.156,True,False
CAT,0.7009439982059267,temp_min,0.010071,1.0071,0.008401,-0.000913,0.020052,0.204,False,False
CAT,0.7009439982059267,glucemia_min,0.009005,0.9005,0.003732,0.004711,0.013429,0.152,True,False
CAT,0.7009439982059267,ph_min,0.006993,0.6993,0.002877,0.00228,0.010257,0.172,True,False
CAT,0.7009439982059267,ventilacion_invasiva_6h,0.005175,0.5175,0.003882,0.000971,0.011197,0.184,True,False
CAT,0.7009439982059267,lactato_max,0.004948,0.4948,0.007231,-0.00399,0.015443,0.316,False,False
CAT,0.7009439982059267,leucocitos_min,0.003654,0.3654,0.00889,-0.009292,0.015955,0.336,False,False
CAT,0.7009439982059267,gender,0.003602,0.3602,0.001838,0.001653,0.006663,0.112,True,False
CAT,0.7009439982059267,hemoglobina_min,0.003055,0.3055,0.003592,-0.00242,0.006845,0.348,False,False
CAT,0.7009439982059267,sofa_max,0.00244,0.244,0.00528,-0.002315,0.009474,0.384,False,False
CAT,0.7009439982059267,fio2_max,0.002361,0.2361,0.00352,-0.001367,0.00822,0.36,False,False
