modelo,auc_modelo,variable,caida_AUC_media,caida_AUC_pp,caida_AUC_desv,caida_AUC_IC_inf,caida_AUC_IC_sup,p_valor_empirico,IC_excluye_cero,p_emp_menor_005
LGBM,0.6246042526278541,peso_kg,-0.006228,-0.6228,0.00787,-0.014781,0.005703,0.688,False,False
CAT,0.6541614687400404,map_min,0.01869,1.869,0.008383,0.004296,0.025954,0.132,True,False
CAT,0.6541614687400404,gpt_max,0.018315,1.8315,0.013552,0.001662,0.039557,0.172,True,False
CAT,0.6541614687400404,rr_max,0.013506,1.3506,0.011423,-0.004774,0.025702,0.208,False,False
CAT,0.6541614687400404,ph_min,0.011479,1.1479,0.010081,-0.002947,0.025458,0.216,False,False
CAT,0.6541614687400404,temp_min,0.011444,1.1444,0.011566,-0.003387,0.024264,0.228,False,False
CAT,0.6541614687400404,spo2_min,0.010361,1.0361,0.014102,-0.007281,0.028993,0.3,False,False
CAT,0.6541614687400404,diuresis_ml_kg_3h,0.009437,0.9437,0.017385,-0.012482,0.035461,0.332,False,False
CAT,0.6541614687400404,pf_min,0.009024,0.9024,0.00386,0.003557,0.014593,0.244,True,False
CAT,0.6541614687400404,lactato_max,0.008807,0.8807,0.0095,-0.002815,0.021098,0.256,False,False
CAT,0.6541614687400404,hr_media,0.00815,0.815,0.009681,-0.003652,0.019932,0.308,False,False
CAT,0.6541614687400404,sofa_max,0.007101,0.7101,0.00529,0.000707,0.01343,0.22,True,False
CAT,0.6541614687400404,bilirrubina_media,0.005734,0.5734,0.008697,-0.005759,0.018933,0.312,False,False
CAT,0.6541614687400404,anchor_age,0.004966,0.4966,0.008817,-0.008804,0.015938,0.284,False,False
CAT,0.6541614687400404,tp_max,0.002565,0.2565,0.00196,0.001195,0.005992,0.328,True,False
CAT,0.6541614687400404,gcs_min,0.001755,0.1755,0.005282,-0.004543,0.008481,0.404,False,False
CAT,0.6541614687400404,fio2_max,0.001302,0.1302,0.00115,-0.000135,0.002918,0.392,False,False
CAT,0.6541614687400404,gender,0.001221,0.1221,0.002093,-0.001665,0.003688,0.336,False,False
CAT,0.6541614687400404,creatinina_max,0.000732,0.0732,0.00216,-0.00229,0.00323,0.344,False,False
CAT,0.6541614687400404,ventilacion_invasiva_3h,-0.001033,-0.1033,0.00517,-0.007539,0.004788,0.52,False,False
CAT,0.6541614687400404,bicarbonato_min,-0.001604,-0.1604,0.010811,-0.020424,0.006684,0.42,False,False
CAT,0.6541614687400404,contador_estancia_uci,-0.002558,-0.2558,0.006215,-0.009311,0.007063,0.632,False,False
CAT,0.6541614687400404,leucocitos_min,-0.004119,-0.4119,0.008659,-0.015494,0.00749,0.58,False,False
CAT,0.6541614687400404,plaquetas_min,-0.005486,-0.5486,0.003999,-0.010871,-0.001752,0.756,False,False
CAT,0.6541614687400404,glucemia_min,-0.006577,-0.6577,0.011916,-0.021171,0.008398,0.616,False,False
CAT,0.6541614687400404,hemoglobina_min,-0.007108,-0.7108,0.010838,-0.024941,0.003145,0.648,False,False
CAT,0.6541614687400404,peso_kg,-0.00936,-0.936,0.004384,-0.016588,-0.004585,0.828,False,False
NB,0.6382777655696519,gpt_max,0.019289,1.9289,0.023555,-0.022072,0.035184,0.176,False,False
NB,0.6382777655696519,rr_max,0.013193,1.3193,0.016392,-0.01292,0.030133,0.252,False,False
NB,0.6382777655696519,temp_min,0.010378,1.0378,0.006564,0.001736,0.018978,0.164,True,False
NB,0.6382777655696519,lactato_max,0.010245,1.0245,0.011477,-0.006989,0.024758,0.264,False,False
NB,0.6382777655696519,map_min,0.009915,0.9915,0.002598,0.006276,0.01351,0.108,True,False
NB,0.6382777655696519,ph_min,0.009307,0.9307,0.009238,-0.005421,0.018988,0.232,False,False
NB,0.6382777655696519,spo2_min,0.008184,0.8184,0.004852,0.002803,0.014456,0.224,True,False
NB,0.6382777655696519,hr_media,0.006246,0.6246,0.008502,-0.007492,0.015005,0.296,False,False
NB,0.6382777655696519,tp_max,0.003747,0.3747,0.004795,-0.002691,0.009513,0.316,False,False
NB,0.6382777655696519,fio2_max,0.003472,0.3472,0.002851,-0.000808,0.006926,0.26,False,False
NB,0.6382777655696519,pf_min,0.003074,0.3074,0.010947,-0.013448,0.014413,0.36,False,False
NB,0.6382777655696519,sofa_max,0.002906,0.2906,0.003813,-0.003609,0.006062,0.336,False,False
NB,0.6382777655696519,bicarbonato_min,0.001659,0.1659,0.003777,-0.004308,0.006325,0.356,False,False
NB,0.6382777655696519,anchor_age,0.001392,0.1392,0.001588,-0.001056,0.003079,0.376,False,False
NB,0.6382777655696519,bilirrubina_media,0.001201,0.1201,0.007749,-0.00993,0.011455,0.396,False,False
NB,0.6382777655696519,diuresis_ml_kg_3h,0.000665,0.0665,0.012628,-0.021063,0.012114,0.312,False,False
NB,0.6382777655696519,plaquetas_min,0.000366,0.0366,0.000807,-0.000761,0.001344,0.464,False,False
NB,0.6382777655696519,gender,6.9e-05,0.0069,0.000835,-0.001116,0.001247,0.516,False,False
NB,0.6382777655696519,peso_kg,-0.000421,-0.0421,0.001268,-0.00203,0.00098,0.552,False,False
NB,0.6382777655696519,hemoglobina_min,-0.000925,-0.0925,0.000788,-0.002261,-0.000172,0.708,False,False
NB,0.6382777655696519,creatinina_max,-0.001052,-0.1052,0.004321,-0.006868,0.004888,0.476,False,False
NB,0.6382777655696519,glucemia_min,-0.001425,-0.1425,0.002122,-0.00505,0.000506,0.584,False,False
NB,0.6382777655696519,gcs_min,-0.001613,-0.1613,0.002008,-0.005049,0.000116,0.768,False,False
NB,0.6382777655696519,leucocitos_min,-0.001645,-0.1645,0.001889,-0.004837,0.000217,0.748,False,False
NB,0.6382777655696519,ventilacion_invasiva_3h,-0.003966,-0.3966,0.007572,-0.017287,0.000677,0.524,False,False
NB,0.6382777655696519,contador_estancia_uci,-0.006896,-0.6896,0.009729,-0.023495,0.000593,0.664,False,False
